#x,action
-52.083333333333336,9
-50.0,9
-47.916666666666664,9
-45.833333333333329,9
-43.749999999999993,9
-41.666666666666657,9
-39.583333333333321,9
-37.499999999999986,9
-35.41666666666665,9
-33.333333333333314,9
-31.249999999999982,9
-29.16666666666665,9
-27.083333333333318,9
-24.999999999999986,9
-22.916666666666654,9
-20.833333333333321,9
-18.749999999999989,9
-16.666666666666657,9
-14.583333333333323,9
-12.499999999999989,9
-10.416666666666655,9
-8.3333333333333215,9
-6.2499999999999876,9
-4.1666666666666536,9
-2.0833333333333202,9
1.3322676295501878e-14,9
2.0833333333333468,9
4.1666666666666803,9
6.2500000000000142,9
8.3333333333333481,9
10.416666666666682,9
12.500000000000016,9
14.58333333333335,9
16.666666666666682,9
18.750000000000014,9
20.833333333333346,9
22.916666666666679,9
25.000000000000011,9
27.083333333333343,9
29.166666666666675,9
31.250000000000007,9
33.333333333333343,9
35.416666666666679,9
37.500000000000014,9
39.58333333333335,9
41.666666666666686,9
43.750000000000021,9
45.833333333333357,9
47.916666666666693,9
50.000000000000028,9
