episode,av_g_reward,av_legit_traffic,av_total_load
0,0.092370176527970194,0.092370176527970194,88.206184625541638
1,0.055062339220367816,0.055062339220367816,102.17686927833782
2,0.051364612597076434,0.051364612597076434,102.8850142466858
3,0.056248905064705236,0.056248905064705236,98.346796656786552
4,0.053232343622400626,0.053232343622400626,100.44490971020358
5,0.047641733193947239,0.047641733193947239,99.162225539024348
6,0.036281790436411401,0.036281790436411401,96.037744500203317
7,0.034635251669894548,0.034635251669894548,99.202217030152823
8,0.03002346555496363,0.03002346555496363,93.561773598446649
9,0.043278019221737532,0.043278019221737532,97.76992535537542
10,0.025157305448648571,0.025157305448648571,99.981736114626941
11,0.023704896024511209,0.023704896024511209,97.303825933803139
12,0.080616455257426417,0.080616455257426417,100.64825413165303
13,0.087015255138726863,0.087015255138726863,100.02759254376727
14,0.041006679814145935,0.041006679814145935,91.554159106467765
15,0.045870090047731821,0.045870090047731821,91.534490176490209
16,0.043053977536221762,0.043053977536221762,92.426027654700164
17,0.0087586895475323077,0.0087586895475323077,87.696979673640456
18,0.024985299491910969,0.024985299491910969,82.089915573756343
19,0.042001701738977999,0.042001701738977999,87.517839472902637
20,0.04859695924700002,0.04859695924700002,88.024476235277547
21,0.067214724115333038,0.067214724115333038,91.173806986073743
22,0.03523829485651938,0.03523829485651938,93.170253489454183
23,0.055472531120391654,0.055472531120391654,93.286720215317359
24,0.043030890152597048,0.043030890152597048,91.074986156749503
25,0.034902786667296695,0.034902786667296695,84.097524738269513
26,0.025851936585412554,0.025851936585412554,90.770050074890136
27,0.037627452813639321,0.037627452813639321,95.384607123474467
28,0.069473988628263456,0.069473988628263456,85.988262014408249
29,0.061207970095794276,0.061207970095794276,84.681968984005167
30,0.044290468906540301,0.044290468906540301,82.226414089384178
31,0.077907919406801682,0.077907919406801682,86.932454592187696
32,0.081086249276279901,0.081086249276279901,90.97356478751162
33,0.054592666798404202,0.054592666798404202,84.526963375733786
34,0.055091774033328919,0.055091774033328919,83.301149242155702
35,0.039835887251713928,0.039835887251713928,85.29786240905905
36,0.082518203846481633,0.082518203846481633,86.82549102733384
37,0.049442527073864387,0.049442527073864387,90.470204246701641
38,0.038327734366862889,0.038327734366862889,94.607807937470128
39,0.10085113001099591,0.10085113001099591,96.065223107170027
40,0.073898895617996022,0.073898895617996022,93.221711780980925
41,0.055197767030963907,0.055197767030963907,91.069054114473431
42,0.042794288618607922,0.042794288618607922,89.647037984143566
43,0.027353923872165613,0.027353923872165613,87.662473463918559
44,0.031423013006855807,0.031423013006855807,94.773657450362762
45,0.044729096775456154,0.044729096775456154,89.932379097527843
46,0.038252348141454895,0.038252348141454895,89.597289876543854
47,0.047032199389089993,0.047032199389089993,87.905935286615147
48,0.027430696172558621,0.027430696172558621,84.602384595871413
49,0.058791476068497238,0.058791476068497238,89.303007843155186
50,0.06792983803994479,0.06792983803994479,88.833307210203316
51,0.03935586201829188,0.03935586201829188,93.42020578213365
52,0.048750970484956545,0.048750970484956545,90.507094375617882
53,0.069546555538861785,0.069546555538861785,92.766266202586792
54,0.034695411069108222,0.034695411069108222,88.240602740131408
55,0.040988493569830017,0.040988493569830017,85.501534020157209
56,0.057174432088739291,0.057174432088739291,86.122785487391937
57,0.028953225977756618,0.028953225977756618,85.534682317617012
58,0.04435367390512595,0.04435367390512595,90.102470383740211
59,0.057388837937389379,0.057388837937389379,92.464861228149033
60,0.029351855025339386,0.029351855025339386,86.084098045181449
61,0.044434049888220396,0.044434049888220396,87.960966328441643
62,0.053444340071015936,0.053444340071015936,90.773632510650856
63,0.026293115456481574,0.026293115456481574,88.003854932991288
64,0.042311964731723849,0.042311964731723849,88.451190252455348
65,0.051989838012221547,0.051989838012221547,90.387285647702129
66,0.039812253949271945,0.039812253949271945,87.32627057328979
67,0.032145024741663315,0.032145024741663315,87.756784870455107
68,0.046967525693929049,0.046967525693929049,96.275188964567178
69,0.05700509102916531,0.05700509102916531,94.397274279594441
