episode,av_g_reward,av_legit_traffic,av_total_load
0,0.12015926710967491,0.12015926710967491,191.01495596383862
1,0.0038878770672985002,0.0038878770672985002,189.11918709775176
2,0.0050307758962601663,0.0050307758962601663,189.44288601115926
3,0.032630214129883345,0.032630214129883345,192.41307178537173
4,0.025583264218212866,0.025583264218212866,187.06280289779221
5,0.010664401679936788,0.010664401679936788,184.34437513604243
6,0.005018810960423936,0.005018810960423936,184.50309260308845
7,0.0188473125780899,0.0188473125780899,185.39124745738468
8,0.0084688298856810326,0.0084688298856810326,183.21100469431124
9,0.0079544416094343533,0.0079544416094343533,180.94681696799097
10,0.021210480777144426,0.021210480777144426,183.4303096350385
11,0.010367481118518171,0.010367481118518171,182.95922372008576
12,0.0087225287634711789,0.0087225287634711789,187.44360845598223
13,0.0082275875344721382,0.0082275875344721382,188.56885965935209
14,0.024150316293211998,0.024150316293211998,188.59586951826137
15,0.0058011931502339031,0.0058011931502339031,187.86265398847488
16,0.0022133549863735174,0.0022133549863735174,188.30631758166197
17,0.0085494708402586821,0.0085494708402586821,186.48339152031343
18,0.0040280722509135284,0.0040280722509135284,188.17050468923586
19,0.0070733938829789554,0.0070733938829789554,183.619754136469
20,0.0048575243194930919,0.0048575243194930919,186.22054280487541
21,0.023576091472496501,0.023576091472496501,191.92891560559227
22,0.001962415302591666,0.001962415302591666,188.13951301930575
23,0.025695710185126834,0.025695710185126834,188.3791574470153
24,0.0053458846913368423,0.0053458846913368423,188.32963435943606
25,0.012431498167751572,0.012431498167751572,191.75326778293834
26,0.018273569990280129,0.018273569990280129,189.14840012395771
27,0.0015375388507066201,0.0015375388507066201,186.4452353285165
28,0.011621864119761394,0.011621864119761394,188.69564984867816
29,0.005997171449659968,0.005997171449659968,187.71938971994433
30,0.001692421484387411,0.001692421484387411,187.28990831934647
31,0.0125492270198235,0.0125492270198235,188.77408998651541
32,0.0029450348089370545,0.0029450348089370545,184.73330706378857
33,0.0037559861665768996,0.0037559861665768996,184.79485241627117
34,0.0015357151762598797,0.0015357151762598797,189.22066159433902
35,0.0065964848309857296,0.0065964848309857296,187.81243701462927
36,0.0058326710139158851,0.0058326710139158851,189.38825415251728
37,0.023221182977023854,0.023221182977023854,188.15222235137247
38,0.0028135984105553779,0.0028135984105553779,188.92262566755346
39,0.018594119467617423,0.018594119467617423,186.26389436749616
40,0.010706880002942142,0.010706880002942142,187.09986291944398
41,0.0066804244795184969,0.0066804244795184969,189.47792677398377
42,0.0079401038687234547,0.0079401038687234547,189.79040215564754
43,0.024881282837711533,0.024881282837711533,190.19824524942629
44,0.015210513227403208,0.015210513227403208,188.32684369512782
45,0.0043515990843669529,0.0043515990843669529,185.54210556264314
46,0.0040531942787401503,0.0040531942787401503,187.01649370420327
47,0.016978510273302723,0.016978510273302723,188.8885792153047
48,0.011237403923833888,0.011237403923833888,183.27533364971754
49,0.01653072176669762,0.01653072176669762,187.46192488287932
50,0.0014750539029591385,0.0014750539029591385,185.20462221800884
51,0.010858358423992073,0.010858358423992073,187.46605523083704
52,0.0039201979442078276,0.0039201979442078276,187.22497798116029
53,0.0038947842045901062,0.0038947842045901062,183.87862654183095
54,0.00086767889233195766,0.00086767889233195766,190.0044924092995
55,0.0018317328099916204,0.0018317328099916204,187.18491637518324
56,0.002489423620873306,0.002489423620873306,189.37999455760601
57,0.0041181847971090892,0.0041181847971090892,190.31567336373217
58,0.0021226914030046222,0.0021226914030046222,189.92809752770617
59,0.015604492911475424,0.015604492911475424,191.86256695261869
60,0.0064653910173783583,0.0064653910173783583,190.09372129377826
61,0.0096441576285198061,0.0096441576285198061,189.42885976054384
62,0.00073312260510153171,0.00073312260510153171,186.3025421782886
63,0.0013633836126758785,0.0013633836126758785,190.37410192354403
64,0.00065539090914205574,0.00065539090914205574,185.7425557776215
65,0.014347088014172041,0.014347088014172041,189.89379289934305
66,0.0017761040906117923,0.0017761040906117923,189.45227966733552
67,0.0047961812995921099,0.0047961812995921099,191.15629811666196
68,0.0077973505567236982,0.0077973505567236982,188.69384232049146
69,0.0042122175871852447,0.0042122175871852447,189.95173972167254
70,0.007416048783078351,0.007416048783078351,190.07607400384475
71,0.0016567828605286981,0.0016567828605286981,189.56168190317521
72,0.015868359383213546,0.015868359383213546,191.69632422854158
73,0.0087879179426827783,0.0087879179426827783,188.81803263859445
74,0.0024910597656339684,0.0024910597656339684,189.49642967905899
75,0.0011721496941209664,0.0011721496941209664,185.96984019417809
76,0.0072576321328145996,0.0072576321328145996,187.93093689350189
77,0.0070509187589439318,0.0070509187589439318,190.0755160798646
78,0.0035440345614211914,0.0035440345614211914,190.86295952482234
79,0.0016083516199477837,0.0016083516199477837,188.10560739867316
80,0.00048357551468603568,0.00048357551468603568,190.20066267424187
81,0.0017227064739238848,0.0017227064739238848,191.25070058916145
82,0.0041258024616164504,0.0041258024616164504,188.61133373340778
83,0.010698471189335004,0.010698471189335004,188.23334110577292
84,0.014245996841515965,0.014245996841515965,189.61837780723425
85,0.00075056737728388344,0.00075056737728388344,189.31994597401979
86,0.0016877689958802542,0.0016877689958802542,185.57993456258706
