episode,av_g_reward,av_legit_traffic,av_total_load
0,-1.0,0.65252224933116043,65.247088715448214
1,-1.0,0.87597041799220876,86.151433004419815
2,-1.0,0.80450610204853523,79.307418123837806
3,-0.821577517186037,0.72459537107807026,74.608826680406835
4,-0.82640993250985617,0.73443957406969096,71.524244283420146
5,-0.8272501424490899,0.71278268363319564,70.036191112245064
6,-1.0,0.63412469427791918,65.430108537208383
7,-0.82706521118964549,0.60468999538945345,59.159503152394812
8,-0.71539448897608326,0.59026258832360623,55.540513364520677
9,-0.69849442431396225,0.54848169745446462,54.042587775421659
10,-0.24359887026021826,0.51702426597998019,49.255389693370482
11,-0.12020292344201458,0.50639415466661986,46.317160702711384
12,0.038955952824952636,0.5024463881785699,45.175474544011209
13,-0.097166591033832295,0.50849478719378316,47.336244002983719
14,0.033500009589973498,0.48600534480464058,46.189406924642498
15,0.43647095372744305,0.43647095372744305,42.328372692351408
16,0.019758729085640452,0.47976689670031714,45.394231546707388
17,0.036049881562817757,0.48906841536728435,46.729165656707231
18,0.18444725932969858,0.47407605090690275,43.364224588684955
19,0.49020589963870781,0.49020589963870781,42.461974328132428
20,0.30077224604229086,0.45554199183697258,44.036626679596047
21,0.18187925513641767,0.51659017283907116,42.207241699937988
22,0.15556737464214968,0.4616159572084203,41.554923212963992
23,0.34660123674690008,0.49516278407066816,42.810133699977698
24,0.33805298349124863,0.47679864840848263,44.774252773124267
25,0.15443100661138393,0.50290463030862065,43.338615449132895
26,0.18967341841758523,0.49928918928489796,43.771604827039212
27,0.30734135431478993,0.47731153619712535,42.219433866516432
28,0.28176054106866777,0.45504342052171926,44.058165211740999
29,0.20158414686396742,0.51436869126908569,45.349691770538335
30,0.29329661840276944,0.44436216363096942,41.258693212883941
31,0.16224375824164591,0.44717535643949108,43.484432798634508
32,0.051103428305827835,0.50102868489418906,44.33869047029674
33,0.16362596056993844,0.49302087875953032,44.49953103240469
34,0.49761250141619645,0.49761250141619645,42.567650658773502
35,0.47758551147305911,0.47758551147305911,42.405606676560801
36,0.31561314633901066,0.4729926222420498,43.487775542290215
37,0.20662349909513938,0.50051425466407229,43.160497952607344
38,0.15444408681543612,0.47523916101253605,42.919172876135384
39,0.20663844920978844,0.52472357365158806,45.913770426359704
40,0.13717293824744931,0.48366095041915297,42.002090061062432
41,0.13856435186965044,0.49926916466655386,43.878221526385389
42,0.33548264265792604,0.49597003643304538,43.237693646380841
43,0.31757680806108379,0.48320184870851046,39.962005738467084
44,0.14978279301000308,0.48096451232274673,42.989005486612662
45,0.32258245383208639,0.48064792906674486,42.913199543038203
46,0.33691905692733537,0.49335137727542672,43.234541160349224
47,0.4858987773415418,0.4858987773415418,41.318705537276152
48,0.44743023797861675,0.44743023797861675,39.885436907373162
49,0.3071283997241071,0.46383289191132909,41.294323462949457
50,0.0040206673007670444,0.48147797683545618,44.67881425979656
51,0.51187914835147919,0.51187914835147919,41.82909719335678
52,0.30092645040130345,0.47353944655497476,42.946016429019934
53,0.31097863735763892,0.49027887749391869,41.724644948645896
54,0.32974946065601374,0.48623568353780422,40.840809735321287
55,0.29689100220153797,0.44286458780775295,41.559809299052226
56,0.22677663545542964,0.52095776203961175,44.393878807111456
57,0.037863161493771745,0.50660472683073687,43.511297488884153
58,0.03564213482400469,0.50551386927072584,43.834252127049282
59,0.35629658962223332,0.51015028921290029,42.956471282246
60,0.45949346999665475,0.45949346999665475,41.645810359211929
61,0.32081569820750355,0.46438734994607989,41.766751012025182
62,0.29464001102537313,0.47437533583748259,41.913251172260722
63,0.31252476966103837,0.48664089678382111,41.913703611168565
64,0.44992590374260127,0.44992590374260127,41.674050444361718
65,0.3343215147539807,0.4823790412807078,41.57459184625413
66,0.30774586359016437,0.46070199645855048,39.665269638768464
67,0.47713198245018773,0.47713198245018773,41.319554345100194
68,0.47600248971007997,0.47600248971007997,42.383733819723304
69,0.32138029057552303,0.46715445945735573,41.685774736369495
70,0.41393493454663666,0.41393493454663666,40.113194251737376
71,0.0075309464049628351,0.49977049568313731,45.842181187789457
72,0.32820737117427889,0.47449661539808385,43.2973211099374
73,0.31966705019015129,0.46931727673826673,43.321263779854583
74,0.30380710075562767,0.46364790317501453,42.786512638591901
75,0.33646918849087692,0.48282218739221944,41.558578238765861
76,0.29906449235445209,0.44839033725141186,41.68902966454781
77,0.32597179697904188,0.48682448076643203,43.737969388907693
78,0.2914181961997433,0.47604291213663624,43.086216304048548
79,0.46439622172831996,0.46439622172831996,40.663739891710676
80,0.441918157225137,0.441918157225137,40.115618046394374
81,0.46005706187699957,0.46005706187699957,39.692234918846687
82,0.45668891026539765,0.45668891026539765,40.010466713796674
83,0.46967176384795728,0.46967176384795728,39.638790666510729
84,0.31996457175547416,0.46861995870353973,38.702688911576203
85,-0.11027392762346402,0.50365100312802968,46.912973053419833
86,0.18422793582163705,0.47836549029985848,43.972471319554543
