#x,action
-52.083333333333336,8
-50.0,8
-47.916666666666664,8
-45.833333333333329,8
-43.749999999999993,8
-41.666666666666657,8
-39.583333333333321,8
-37.499999999999986,8
-35.41666666666665,8
-33.333333333333314,8
-31.249999999999982,8
-29.16666666666665,8
-27.083333333333318,8
-24.999999999999986,8
-22.916666666666654,8
-20.833333333333321,8
-18.749999999999989,8
-16.666666666666657,8
-14.583333333333323,8
-12.499999999999989,8
-10.416666666666655,8
-8.3333333333333215,8
-6.2499999999999876,8
-4.1666666666666536,8
-2.0833333333333202,8
1.3322676295501878e-14,8
2.0833333333333468,9
4.1666666666666803,9
6.2500000000000142,9
8.3333333333333481,6
10.416666666666682,6
12.500000000000016,6
14.58333333333335,6
16.666666666666682,6
18.750000000000014,6
20.833333333333346,6
22.916666666666679,6
25.000000000000011,5
27.083333333333343,5
29.166666666666675,5
31.250000000000007,5
33.333333333333343,5
35.416666666666679,6
37.500000000000014,6
39.58333333333335,6
41.666666666666686,6
43.750000000000021,6
45.833333333333357,6
47.916666666666693,6
50.000000000000028,6
