#x,action
-52.083333333333336,7.0
-50.0,7.0
-47.916666666666664,7.0
-45.833333333333329,7.0
-43.749999999999993,7.0
-41.666666666666657,7.0
-39.583333333333321,7.0
-37.499999999999986,7.0
-35.41666666666665,7.0
-33.333333333333314,7.0
-31.249999999999982,7.0
-29.16666666666665,7.0
-27.083333333333318,7.0
-24.999999999999986,7.0
-22.916666666666654,7.0
-20.833333333333321,7.0
-18.749999999999989,7.0
-16.666666666666657,7.0
-14.583333333333323,7.0
-12.499999999999989,7.0
-10.416666666666655,7.0
-8.3333333333333215,7.0
-6.2499999999999876,7.0
-4.1666666666666536,7.0
-2.0833333333333202,7.0
1.3322676295501878e-14,7.0
2.0833333333333468,7.0
4.1666666666666803,7.0
6.2500000000000142,6.5
8.3333333333333481,6.5
10.416666666666682,6.5
12.500000000000016,6.5
14.58333333333335,6.0
16.666666666666682,6.0
18.750000000000014,6.0
20.833333333333346,6.0
22.916666666666679,6.0
25.000000000000011,6.0
27.083333333333343,6.0
29.166666666666675,6.0
31.250000000000007,6.0
33.333333333333343,6.0
35.416666666666679,6.0
37.500000000000014,6.0
39.58333333333335,6.0
41.666666666666686,6.0
43.750000000000021,6.0
45.833333333333357,6.0
47.916666666666693,6.0
50.000000000000028,6.0
