episode,t,global_t,g_reward,legit_traffic,total_load
0,0,0,-1,1.0,36.24675290419077
0,1,1,-1,0.42324218047916884,29.172354694883865
0,2,2,-1,0.892630441526859,32.6350974704266
0,3,3,-1,1.0,34.14254658394343
0,4,4,-1,0.0,26.175986162605593
0,5,5,-1,0.0,26.08627127101549
0,6,6,-1,0.7968570349405244,31.68931699023234
0,7,7,0.0,0.0,25.90145896190625
0,8,8,0.0,0.0,25.960890177992347
0,9,9,-1,0.7658700562285431,31.408707558632273
0,10,10,-1,1.0,45.65778388285716
0,11,11,-1,1.0,49.07556401887916
0,12,12,-1,1.0,50.59348367516558
0,13,13,-1,0.5106202873156097,29.54542581958346
0,14,14,-1,0.22524583758734562,27.629367885199784
0,15,15,-1,1.0,34.429303788152225
0,16,16,-1,1.0,34.959206134758
0,17,17,-1,0.0,26.04434883320206
0,18,18,-1,0.0,26.048089723068934
0,19,19,-1,1.0,37.20439028871641
0,20,20,-1,0.3463173520682266,28.636616858768775
0,21,21,-1,0.0,26.314954311981577
0,22,22,0.0,0.0,25.829506416987865
0,23,23,-1,1.0,50.67630601185406
0,24,24,-1,1.0,51.15724026031498
0,25,25,-1,1.0,51.58311284362229
0,26,26,-1,1.0,51.581105765272255
0,27,27,-1,0.12538312154265557,27.031943400847208
0,28,28,-1,1.0,33.61440981222764
0,29,29,-1,1.0,34.855119181257756
0,30,30,-1,0.0,26.1226356985433
0,31,31,0.0,0.0,25.851038020336265
0,32,32,-1,0.0308173165967764,26.23868590964744
0,33,33,-1,1.0,33.67406490830477
0,34,34,-1,1.0,33.15712323588802
0,35,35,-1,0.12012789007193735,26.937625994730944
0,36,36,0.0,0.0,25.919581246395452
0,37,37,-1,0.0,26.244117784299956
0,38,38,-1,1.0,43.40107003986783
0,39,39,-1,1.0,51.744940343304364
0,40,40,-1,1.0,50.92283846851498
0,41,41,-1,1.0,51.328604568295795
0,42,42,-1,1.0,47.09846138600824
0,43,43,-1,0.7135752847780211,31.161911308756984
0,44,44,-1,0.0,26.118615179320994
0,45,45,0.0,0.0,25.82808524319404
0,46,46,-1,0.0,26.16208933687135
0,47,47,0.0,0.0,25.948786833356767
0,48,48,-1,0.48832175194124083,29.438504572359307
0,49,49,-1,1.0,51.20487176884646
0,50,50,-1,1.0,35.80684831121252
0,51,51,0.0,0.0,25.913209669188728
0,52,52,0.0,0.0,25.892857417844677
0,53,53,-1,0.3154379918388657,28.224225676963304
0,54,54,-1,1.0,51.645101716832954
0,55,55,-1,1.0,51.50541982316613
0,56,56,-1,1.0,51.42387975754271
0,57,57,-1,1.0,51.2250646322239
0,58,58,-1,1.0,51.552798351086025
0,59,59,-1,1.0,51.57500455100569
0,60,60,-1,1.0,35.900726411432466
0,61,61,-1,0.0,26.14913422637135
0,62,62,-1,0.0,26.04246663860519
0,63,63,-1,0.7273817952628572,31.19936952976663
0,64,64,-1,1.0,36.60873175503676
0,65,65,-1,1.0,35.68358574585099
0,66,66,-1,0.06292484189485617,26.446423889706317
0,67,67,-1,0.0,26.179913876466085
0,68,68,0.0,0.0,25.82279523897867
0,69,69,-1,0.8223077059918386,31.906195807586876
0,70,70,-1,1.0,51.139489561909414
0,71,71,-1,1.0,51.755135500846
0,72,72,-1,1.0,51.39665015276286
0,73,73,-1,1.0,51.50588531826159
0,74,74,-1,1.0,51.01903341238707
0,75,75,-1,1.0,51.50546273487105
0,76,76,-1,1.0,51.40665942450234
0,77,77,-1,1.0,51.91369073727742
0,78,78,-1,1.0,51.145743363450336
0,79,79,-1,1.0,51.380840739936005
0,80,80,-1,1.0,43.83015817508608
0,81,81,-1,0.0,26.05580424573149
0,82,82,0.0,0.0,25.90085317920748
0,83,83,-1,0.0,26.03805169440318
0,84,84,-1,0.18032693561606336,27.324054996815264
0,85,85,-1,1.0,45.92628754425776
0,86,86,-1,1.0,51.643075324693555
0,87,87,-1,1.0,51.10633228245682
0,88,88,-1,1.0,51.42795589561135
0,89,89,-1,1.0,51.71003387626959
0,90,90,-1,1.0,51.401450758701955
0,91,91,-1,1.0,51.71443219708602
0,92,92,-1,1.0,51.0181227982565
0,93,93,-1,1.0,51.56810723298507
0,94,94,-1,1.0,51.51439357370586
0,95,95,-1,1.0,51.26129474664397
0,96,96,-1,1.0,39.14310519261407
0,97,97,-1,0.0,26.090413723092993
0,98,98,0.0,0.0,25.973624647670363
0,99,99,-1,1.0,41.610019794912226
0,100,100,-1,1.0,51.5025425781008
0,101,101,-1,1.0,51.169858475271596
0,102,102,-1,1.0,51.31857221513
0,103,103,-1,1.0,51.36029281342688
0,104,104,-1,1.0,51.501588263266854
0,105,105,-1,1.0,51.493402753497406
0,106,106,-1,1.0,51.622789946030686
0,107,107,-1,1.0,51.40121344655171
0,108,108,-1,1.0,51.12731323074003
0,109,109,-1,1.0,51.56916891321326
0,110,110,-1,1.0,51.563382181502874
0,111,111,-1,1.0,51.41861576969796
0,112,112,-1,0.7862976892440755,31.80827928298263
0,113,113,-1,1.0,44.46042636229893
0,114,114,-1,1.0,51.60144593761126
0,115,115,-1,1.0,51.26061073840588
0,116,116,-1,1.0,36.753125273456405
0,117,117,-1,1.0,33.91230646461866
0,118,118,-1,1.0,40.18789712102332
0,119,119,-1,1.0,51.16364123578456
0,120,120,-1,1.0,51.457476883703976
0,121,121,-1,1.0,51.257268388663306
0,122,122,-1,1.0,51.58680237614709
0,123,123,-1,1.0,51.76026974213588
0,124,124,-1,1.0,51.09361240040137
0,125,125,-1,1.0,51.69899445603714
0,126,126,-1,1.0,51.49370916272152
0,127,127,-1,1.0,51.08712706362583
0,128,128,-1,1.0,51.5129777592572
