episode,t,global_t,g_reward,legit_traffic,total_load
0,0,0,-1,0.3189936950018407,45.07177151303107
0,1,1,-1,1.0,63.49935256432803
0,2,2,-1,1.0,63.56789799487311
0,3,3,-1,1.0,66.12225433801346
0,4,4,-1,1.0,61.781979086602576
0,5,5,-1,1.0,57.84768022914905
0,6,6,-1,0.4952758058250981,32.39439744881823
0,7,7,1.0,1.0,41.59539493677616
0,8,8,-1,1.0,54.16958457371305
0,9,9,-1,0.21189998723634867,28.010849612291985
0,10,10,1.0,1.0,31.421053638187956
0,11,11,1.0,1.0,42.14159988805122
0,12,12,1.0,1.0,38.870020953742475
0,13,13,1.0,1.0,29.15554921041108
0,14,14,0.169761741845024,0.169761741845024,22.575964853518215
0,15,15,0.6102738003777801,0.6102738003777801,24.060168243844014
0,16,16,0.4203455312930414,0.4203455312930414,21.902231455152084
0,17,17,1.0,1.0,34.24662630715437
0,18,18,1.0,1.0,28.864378391613236
0,19,19,1.0,1.0,33.63495004412552
0,20,20,0.20487553262018807,0.20487553262018807,21.813271613624416
0,21,21,0.01885450636131374,0.01885450636131374,21.077541006405013
0,22,22,1.0,1.0,33.17127161363943
0,23,23,1.0,1.0,33.74121004371938
0,24,24,1.0,1.0,27.59170547037805
0,25,25,1.0,1.0,34.130800985695736
0,26,26,1.0,1.0,35.296533519450044
0,27,27,1.0,1.0,42.119313193321275
0,28,28,1.0,1.0,34.692117313597095
0,29,29,0.2837632287429939,0.2837632287429939,22.66425046048714
0,30,30,0.3957481862570587,0.3957481862570587,21.476498052697597
0,31,31,0.52674479059497,0.52674479059497,24.81107334158006
0,32,32,0.5641166662785415,0.5641166662785415,27.690969148457498
0,33,33,1.0,1.0,35.25946046982668
0,34,34,1.0,1.0,41.77653932052214
0,35,35,1.0,1.0,39.20075612454334
0,36,36,1.0,1.0,34.669510673507695
0,37,37,1.0,1.0,35.398170959993145
0,38,38,1.0,1.0,34.70284264807774
0,39,39,1.0,1.0,27.079326313836404
0,40,40,0.7564417708977282,0.7564417708977282,22.471987868551295
0,41,41,1.0,1.0,36.08570727225279
0,42,42,0.4798782539565553,0.4798782539565553,21.247113525162867
0,43,43,0.7159934771874068,0.7159934771874068,25.504703330597565
0,44,44,0.47080533321953727,0.47080533321953727,22.32015931881518
0,45,45,0.406966083370725,0.406966083370725,22.90889975249491
0,46,46,0.5003221642687308,0.5003221642687308,25.21075346039453
0,47,47,0.47682573830694563,0.47682573830694563,26.731211045562958
0,48,48,1.0,1.0,37.55546266294624
0,49,49,1.0,1.0,39.331244134757384
0,50,50,0.6204407128550092,0.6204407128550092,26.18596624599111
0,51,51,0.32643636374817386,0.32643636374817386,23.125714936187755
0,52,52,0.9345141929668036,0.9345141929668036,26.462719882174664
0,53,53,1.0,1.0,38.535946977842954
0,54,54,0.8375070302587821,0.8375070302587821,24.38645042247587
0,55,55,0.964400807614925,0.964400807614925,26.230590265808505
0,56,56,0.30148538591411833,0.30148538591411833,20.771066374870188
0,57,57,0.27434622528551594,0.27434622528551594,21.334569511188423
0,58,58,0.21323087009504724,0.21323087009504724,20.27540493236791
0,59,59,1.0,1.0,32.513858678310456
0,60,60,1.0,1.0,29.380163489516704
0,61,61,0.2727883841289959,0.2727883841289959,20.72783513663739
0,62,62,0.9270048647647372,0.9270048647647372,30.276903935232056
0,63,63,1.0,1.0,33.007773908646485
0,64,64,0.44256314469779473,0.44256314469779473,26.04716405342738
0,65,65,0.7774157371397554,0.7774157371397554,24.854260063855843
0,66,66,0.8203672291706348,0.8203672291706348,26.67427370095203
0,67,67,1.0,1.0,35.75400861057097
0,68,68,0.8728075102381432,0.8728075102381432,26.452925365365342
0,69,69,0.161494214940365,0.161494214940365,19.337010953973714
0,70,70,0.016814356633025794,0.016814356633025794,16.713659706781566
0,71,71,0.0,0.0,17.513104374965675
0,72,72,0.0,0.0,17.467942015410674
0,73,73,0.016338047909208175,0.016338047909208175,22.392294057712974
0,74,74,0.0,0.0,19.249508392470755
0,75,75,1.0,1.0,33.42180486365661
0,76,76,1.0,1.0,31.940725607096134
0,77,77,0.3484278605216615,0.3484278605216615,21.75853475694464
0,78,78,0.8584761212566151,0.8584761212566151,26.44518271170169
0,79,79,0.7959106886526186,0.7959106886526186,24.972372226955564
0,80,80,1.0,1.0,35.905101907660736
0,81,81,0.23146115538880857,0.23146115538880857,20.562384236310734
0,82,82,0.16169840736641009,0.16169840736641009,16.961043330342246
0,83,83,0.29709768706053696,0.29709768706053696,21.97219891219572
0,84,84,0.2013601051193747,0.2013601051193747,20.760568686368018
0,85,85,0.0,0.0,17.951585371173035
0,86,86,0.03427489715440177,0.03427489715440177,17.03481673507597
0,87,87,0.7844478250626357,0.7844478250626357,25.971655719527853
0,88,88,0.30372762801992365,0.30372762801992365,21.66088750525772
0,89,89,0.0,0.0,20.223506640002828
0,90,90,1.0,1.0,27.93090308799149
0,91,91,1.0,1.0,31.64511329278188
0,92,92,0.48801580935747074,0.48801580935747074,20.510139442356333
0,93,93,0.22209234830666852,0.22209234830666852,18.80779661999948
0,94,94,0.7203389712558763,0.7203389712558763,21.67985818512765
0,95,95,0.7757339607340523,0.7757339607340523,24.217081598416563
0,96,96,1.0,1.0,33.48891531200097
0,97,97,0.017322278921412054,0.017322278921412054,20.334276018712178
0,98,98,0.11517695628364741,0.11517695628364741,21.14949596251978
0,99,99,1.0,1.0,39.56173358457986
0,100,100,0.452591778974229,0.452591778974229,25.75232190204345
0,101,101,0.0,0.0,16.492663079784784
0,102,102,1.0,1.0,27.666650213940883
