#x,action
-208.33333333333334,9
0.0,9
208.33333333333334,4
416.66666666666669,4
625.0,4
833.33333333333337,4
1041.6666666666667,4
1250.0,4
1458.3333333333333,4
1666.6666666666665,4
1874.9999999999998,4
2083.333333333333,4
2291.6666666666665,4
2500.0,4
2708.3333333333335,4
2916.666666666667,4
3125.0000000000005,4
3333.3333333333339,4
3541.6666666666674,4
3750.0000000000009,4
3958.3333333333344,4
4166.6666666666679,4
4375.0000000000009,4
4583.3333333333339,4
4791.666666666667,4
5000.0,4
5208.333333333333,4
5416.6666666666661,4
5624.9999999999991,4
5833.3333333333321,4
6041.6666666666652,4
6249.9999999999982,4
6458.3333333333312,4
6666.6666666666642,4
6874.9999999999973,4
7083.3333333333303,4
7291.6666666666633,4
7499.9999999999964,4
7708.3333333333294,4
7916.6666666666624,4
8124.9999999999955,4
8333.3333333333285,4
8541.6666666666624,4
8749.9999999999964,4
8958.3333333333303,4
9166.6666666666642,4
9374.9999999999982,4
9583.3333333333321,4
9791.6666666666661,4
10000.0,4
