episode,av_g_reward,av_legit_traffic,av_total_load
0,-0.60270347421940018,0.456397210286419,52.645545498138802
1,-0.73223787606216451,0.46678705983524732,49.905042826582381
2,-0.65546060948037133,0.45824054056755503,51.222532538632322
3,-0.86005503081916923,0.53144901502408359,69.336852823363898
4,-0.6479606958364974,0.53376048206960902,61.742011848012432
5,-1.0,0.49631113740896993,62.631482282157819
6,-1.0,0.46473063817890931,58.58869642118399
7,-1.0,0.57663871076886408,64.71099785679732
8,-1.0,0.50608511935010514,62.729912130518002
9,-1.0,0.54353542720615655,64.033459407848312
10,-1.0,0.46280077515941248,59.664572589925946
11,-1.0,0.50763699198178769,62.933992590312947
12,-0.8661399983597835,0.47560812046135281,53.014573858874584
13,-1.0,0.53565925854194185,68.857165337013257
14,-0.87741987311098912,0.46418969164201629,58.642649151811938
15,-0.74708447676735423,0.43119490118334147,53.99666338142314
16,-0.87174173465222571,0.50539989670448082,55.363058261381468
17,-1.0,0.50999529332563931,63.345132758280442
18,-1.0,0.53048699125895127,54.667301633812293
19,-1.0,0.42260025805083634,62.957064485515957
20,-0.8733143081860677,0.51063613552060372,53.04596903229676
21,-0.87007196449630952,0.42285097146782141,53.959489766737725
22,-1.0,0.51860558189843509,60.455131949574856
23,-0.86759128428052179,0.50998851756644226,58.177849145560728
24,-1.0,0.52743440656097107,61.867095895232652
25,-1.0,0.54211959863563097,55.119179040636098
26,-1.0,0.50943810433170045,66.55255151207507
27,-1.0,0.49979155590451391,61.521366841021724
28,-0.88026979323670074,0.48278511937250357,58.716513945996802
29,-0.86314599815002668,0.51139391906935638,58.972276934324682
30,-1.0,0.53149801600403612,59.264075693794652
31,-1.0,0.49862895814521879,59.01118966149005
32,-1.0,0.53101386891611158,57.778950467344018
33,-1.0,0.50735118023544357,62.728335879191398
34,-0.69248381478807042,0.57727431713256083,54.647089497855596
35,-0.84562504516483128,0.53623081212310797,58.799921117942439
36,-1.0,0.46792985195906861,56.934783843492674
37,-0.58275607029169607,0.49043719226483001,55.321070126062253
38,-0.88199689068201081,0.4734405238203821,63.924810817896912
39,-0.83631771744793093,0.54565779752370469,56.640781098796609
40,-0.7572660078060176,0.44715370480803796,54.123693469689329
41,-0.83519055459907565,0.52095410967111744,61.283228175260433
42,-1.0,0.47027802719449385,57.226876143479103
43,-1.0,0.51183051306253002,62.365881761997272
44,-0.84469025298797573,0.49714057927261213,57.963898739416777
45,-1.0,0.50412738852915562,59.535018600358264
46,-0.60399207919358822,0.47025645288399553,53.579456114538502
47,-0.85772863745235917,0.52615395337899851,59.426991855966477
48,-0.8480859253855737,0.57688034972746394,60.563289501373255
49,-0.86079122362742932,0.49325912658544457,56.505358629757687
50,-0.82421335598563594,0.50735197511041563,57.635016464940691
51,-0.87157609638017097,0.50309880296276288,63.094052308484905
52,-0.86434653215176005,0.46193087257802479,53.881154580393193
53,-0.70660130388252873,0.55186968115993773,56.88129716499801
54,-0.73722828803389617,0.44315961024134626,46.214251291752028
55,-1.0,0.50948606567023225,54.69338621034202
56,-0.84473872462872612,0.41319048700992428,51.294583038082962
57,-0.86892943706947778,0.46697289122900199,61.063918153891585
58,-0.82953589408071138,0.49668908763398789,52.232338253790502
59,-1.0,0.49739326112656412,58.946050036450814
60,-0.85543397633258245,0.51380503767414454,58.857679990335598
61,-1.0,0.513182468650354,56.83305518599002
62,-1.0,0.4647615826633526,54.001110152933094
63,-1.0,0.51063201109147416,56.845337629778975
64,-0.77822385852739406,0.46789279276470186,47.428249591931646
65,-0.67865783960486115,0.48946600698146969,55.32527277353087
66,-1.0,0.53454569783538264,57.762624811801231
67,-0.83282188835806892,0.48845271257031031,56.254209850891549
68,-1.0,0.47816617858857208,57.067224680374714
69,-1.0,0.54132482545782068,57.38538044899817
70,-0.84465839210365279,0.51104565491925258,59.04103527787214
71,-0.85038127070239755,0.48959096555962267,53.276162833302486
72,-1.0,0.4777996683407208,58.340858473550256
73,-1.0,0.45769927481375711,52.555580657493387
74,-0.87924684116925977,0.47631157754534731,53.504824524632923
75,-0.84507117568114398,0.50609679555374842,51.932367528369284
76,-0.85125010412331359,0.49365065629073535,57.811186950778087
77,-1.0,0.48953487170847482,63.706741181942938
78,-0.71235063504316876,0.50385696801262148,56.195084524702622
79,-1.0,0.51005900707100604,57.174161579333123
80,-1.0,0.51041253438194389,57.657743678955967
81,-1.0,0.50421424022520855,57.584732362677514
82,-0.85907238934493402,0.45327983075286243,54.703026794926814
83,-0.75129515300030436,0.46627841344967835,48.467911308589166
84,-1.0,0.52290350798864249,54.788488849095032
85,-0.85967300014151959,0.53602209650385968,54.710320695352458
86,-0.87051129602931854,0.48260355764633822,52.533754487261682
87,-0.84231173429671846,0.4501205978508066,50.472005986799275
88,-0.85162035801918157,0.4994489531480365,56.159044083650599
89,-0.86861167102742765,0.44917900547547174,52.019087696805613
90,-1.0,0.41215522538680893,59.2457361610577
91,-1.0,0.47706577513571941,56.330086288923042
92,-0.82332307022722362,0.49815203602329705,51.674438406794025
93,-0.85164593497918306,0.40748084424246328,54.129662281784384
94,-0.57733217867128861,0.47291537366389375,55.132405560555924
95,-0.73204283085971011,0.49902219433277323,54.726961751918608
96,-0.84875726796367668,0.51064934683017837,57.231635348941381
97,-0.59727016488892326,0.50154449791051758,54.228939404107813
98,-0.39626334712051753,0.47601669809601227,48.523792347113563
99,-0.58674882404880313,0.4080117938672031,51.561566475252576
100,-0.74663423532609019,0.43961001583901788,47.572041457335672
101,-0.88074704019138816,0.38917366228162853,49.047885766318565
102,-1.0,0.43034788538092839,61.778259434561107
103,-0.59617329440940137,0.44750141506699448,52.874549904247132
104,-1.0,0.46533723909226615,54.203695617670007
105,-1.0,0.58717518057186191,58.640813115681965
106,-0.8530921102180814,0.48856883790767142,54.945788271640438
107,-1.0,0.48286486847352661,58.532219388233969
108,-0.89262719829926529,0.44434295258508671,53.71212216582154
109,-0.86382572450547956,0.44653242189378839,53.894397478730824
110,-1.0,0.50929693190299152,62.974228397937893
111,-0.85270106860156325,0.49147211578475047,56.947347457481825
112,-0.74104871883346091,0.40521116899283188,52.088154768337589
113,-1.0,0.4608360667618886,57.866739126254728
114,-0.70910962101832342,0.49354247085012515,51.946039381204159
115,-1.0,0.45078876115627919,51.424628836048122
116,-0.57621210262839373,0.41125775973162726,50.019898018664421
117,-0.89704620481736297,0.37050236030002281,52.350454110741438
118,-0.86320178908509426,0.43876433955032096,56.060189088469485
119,-0.57352101411968948,0.50249557361454988,53.966006995834164
120,-1.0,0.48886552963882268,57.128401278916897
121,-0.53932967798742537,0.50991214516847361,56.070319014479892
122,-0.86969525321010921,0.45398140843119678,56.650810762567048
123,-0.71670689438827828,0.44680456701829591,49.395423746401192
124,-0.73767540861885583,0.39961488225838132,56.300149806604125
125,-0.58282156839034149,0.45790067203607049,54.165345186594912
126,-0.74633643011976325,0.43215395829350606,44.147337771048925
127,-0.85523906941993477,0.48835268822971301,54.509064188203254
128,-0.71765739441193221,0.45504944646452411,56.875564903849046
129,-0.85001874172454561,0.46471005440647195,57.38637231093908
130,-0.87022591502710789,0.41004958248660894,49.568494008920084
131,-0.87705515360288688,0.4206019774930555,57.028430341586784
132,-0.6011084606375382,0.51662060766569851,54.137737173340419
